wl,n,k
2.96,2.477,18.735
2.97,2.497,18.805
2.98,2.505,18.865
2.99,2.525,18.919
3,2.554,18.982
3.01,2.564,19.032
3.02,2.59,19.103
3.03,2.585,19.157
3.04,2.596,19.219
3.05,2.603,19.291
3.06,2.618,19.349
3.07,2.626,19.4
3.08,2.656,19.476
3.09,2.663,19.523
3.1,2.671,19.571
3.11,2.679,19.637
3.12,2.691,19.698
3.13,2.71,19.757
3.14,2.728,19.82
3.15,2.743,19.872
3.16,2.755,19.936
3.17,2.761,19.981
3.18,2.79,20.051
3.19,2.8,20.112
3.2,2.825,20.183
3.21,2.822,20.232
3.22,2.823,20.292
3.23,2.86,20.35
3.24,2.877,20.412
3.25,2.88,20.468
3.26,2.9,20.514
3.27,2.931,20.592
3.28,2.909,20.626
3.29,2.903,20.679
3.3,2.908,20.737
