wl,n,k
0.798,4.60641,1.56E+00
0.8,4.61481,1.54E+00
0.802,4.6232,1.53E+00
0.804,4.6315,1.51E+00
0.806,4.63958,1.50E+00
0.808,4.64766,1.48E+00
0.81,4.65562,1.47E+00
0.812,4.66336,1.45E+00
0.814,4.67111,1.44E+00
0.816,4.67872,1.42E+00
0.818,4.68612,1.40E+00
0.82,4.69352,1.39E+00
0.822,4.70078,1.37E+00
0.824,4.70783,1.36E+00
0.826,4.71487,1.34E+00
0.828,4.72179,1.32E+00
0.83,4.72848,1.31E+00
0.832,4.73516,1.29E+00
0.834,4.74175,1.27E+00
0.836,4.74808,1.26E+00
0.838,4.75442,1.24E+00
0.84,4.76067,1.22E+00
0.842,4.76666,1.21E+00
0.844,4.77264,1.19E+00
0.846,4.77858,1.17E+00
0.848,4.78423,1.16E+00
0.85,4.78987,1.14E+00
0.852,4.79551,1.12E+00
0.854,4.80082,1.11E+00
0.856,4.80613,1.09E+00
0.858,4.81144,1.07E+00
0.86,4.81646,1.06E+00
0.862,4.82144,1.04E+00
0.864,4.82642,1.02E+00
0.866,4.83116,1.01E+00
0.868,4.83581,9.92E-01
0.87,4.84045,9.76E-01
0.872,4.84492,9.59E-01
0.874,4.84923,9.44E-01
0.876,4.85353,9.28E-01
0.878,4.85772,9.12E-01
0.88,4.86168,8.96E-01
0.882,4.86564,8.81E-01
0.884,4.86956,8.65E-01
0.886,4.87314,8.50E-01
0.888,4.87673,8.35E-01
0.89,4.88032,8.20E-01
0.892,4.88358,8.05E-01
0.894,4.88679,7.91E-01
0.896,4.88999,7.76E-01
0.898,4.89296,7.62E-01
0.9,4.89574,7.48E-01
0.902,4.89853,7.34E-01
0.904,4.90119,7.21E-01
0.906,4.90352,7.08E-01
0.908,4.90584,6.94E-01
0.91,4.90816,6.81E-01
0.912,4.91,6.69E-01
0.914,4.91181,6.56E-01
0.916,4.91362,6.44E-01
0.918,4.91509,6.32E-01
0.92,4.91634,6.21E-01
0.922,4.91758,6.09E-01
0.924,4.91869,5.98E-01
0.926,4.91933,5.87E-01
0.928,4.91998,5.77E-01
0.93,4.92062,5.66E-01
0.932,4.92076,5.56E-01
0.934,4.92079,5.47E-01
0.936,4.92081,5.37E-01
0.938,4.92062,5.28E-01
0.94,4.92004,5.19E-01
0.942,4.91947,5.10E-01
0.944,4.9189,5.02E-01
0.946,4.91782,4.94E-01
0.948,4.9167,4.86E-01
0.95,4.91558,4.78E-01
0.952,4.91425,4.71E-01
0.954,4.91266,4.64E-01
0.956,4.91107,4.57E-01
0.958,4.90948,4.51E-01
0.96,4.90754,4.44E-01
0.962,4.90558,4.38E-01
0.964,4.90361,4.32E-01
0.966,4.90155,4.27E-01
0.968,4.89932,4.21E-01
0.97,4.8971,4.16E-01
0.972,4.89487,4.11E-01
0.974,4.89252,4.06E-01
0.976,4.89014,4.01E-01
0.978,4.88775,3.97E-01
0.98,4.88536,3.92E-01
0.982,4.88292,3.88E-01
0.984,4.88048,3.84E-01
0.986,4.87803,3.80E-01
0.988,4.87562,3.76E-01
0.99,4.87321,3.72E-01
0.992,4.8708,3.69E-01
0.994,4.8684,3.65E-01
0.996,4.86612,3.62E-01
0.998,4.86385,3.58E-01
1,4.86157,3.55E-01
1.002,4.85937,3.52E-01
1.004,4.8573,3.49E-01
1.006,4.85523,3.46E-01
1.008,4.85316,3.43E-01
1.01,4.85126,3.39E-01
1.012,4.84942,3.36E-01
1.014,4.84759,3.33E-01
1.016,4.84576,3.30E-01
1.018,4.84412,3.26E-01
1.02,4.8425,3.22E-01
1.022,4.84088,3.19E-01
1.024,4.83928,3.15E-01
1.026,4.8378,3.12E-01
1.028,4.83631,3.08E-01
1.03,4.83483,3.04E-01
1.032,4.83335,3.01E-01
1.034,4.83189,2.97E-01
1.036,4.83042,2.94E-01
1.038,4.82896,2.91E-01
1.04,4.82742,2.87E-01
1.042,4.82585,2.84E-01
1.044,4.82428,2.81E-01
1.046,4.82271,2.77E-01
1.048,4.82098,2.74E-01
1.05,4.81922,2.71E-01
1.052,4.81746,2.67E-01
1.054,4.8157,2.64E-01
1.056,4.81374,2.61E-01
1.058,4.81177,2.58E-01
1.06,4.8098,2.54E-01
1.062,4.80781,2.51E-01
1.064,4.80565,2.48E-01
1.066,4.8035,2.45E-01
1.068,4.80134,2.42E-01
1.07,4.79916,2.39E-01
1.072,4.79687,2.37E-01
1.074,4.79458,2.34E-01
1.076,4.79229,2.31E-01
1.078,4.78999,2.29E-01
1.08,4.78763,2.26E-01
1.082,4.78528,2.24E-01
1.084,4.78293,2.21E-01
1.086,4.78057,2.18E-01
1.088,4.77818,2.16E-01
1.09,4.7758,2.13E-01
1.092,4.77341,2.11E-01
1.094,4.77102,2.08E-01
1.096,4.76863,2.06E-01
1.098,4.76623,2.04E-01
1.1,4.76383,2.02E-01
1.102,4.76143,2.00E-01
1.104,4.75904,1.97E-01
1.106,4.75664,1.95E-01
1.108,4.75425,1.93E-01
1.11,4.75186,1.91E-01
1.112,4.74947,1.89E-01
1.114,4.74708,1.87E-01
1.116,4.74469,1.84E-01
1.118,4.7423,1.82E-01
1.12,4.7399,1.80E-01
1.122,4.73751,1.78E-01
1.124,4.73511,1.76E-01
1.126,4.73272,1.74E-01
1.128,4.73031,1.72E-01
1.13,4.72791,1.71E-01
1.132,4.7255,1.69E-01
1.134,4.72309,1.67E-01
1.136,4.72066,1.65E-01
1.138,4.71823,1.63E-01
1.14,4.7158,1.62E-01
1.142,4.71336,1.60E-01
1.144,4.7109,1.58E-01
1.146,4.70843,1.56E-01
1.148,4.70595,1.54E-01
1.15,4.70348,1.53E-01
1.152,4.70099,1.51E-01
1.154,4.6985,1.49E-01
1.156,4.696,1.47E-01
1.158,4.6935,1.46E-01
1.16,4.69101,1.44E-01
1.162,4.68854,1.42E-01
1.164,4.68607,1.40E-01
1.166,4.6836,1.39E-01
1.168,4.68113,1.37E-01
1.17,4.67871,1.36E-01
1.172,4.6763,1.34E-01
1.174,4.67389,1.32E-01
1.176,4.67148,1.31E-01
1.178,4.66912,1.30E-01
1.18,4.6668,1.28E-01
1.182,4.66447,1.27E-01
1.184,4.66215,1.26E-01
1.186,4.65984,1.24E-01
1.188,4.65756,1.23E-01
1.19,4.65528,1.22E-01
1.192,4.653,1.20E-01
1.194,4.65072,1.19E-01
1.196,4.64849,1.18E-01
1.198,4.64626,1.16E-01
1.2,4.64404,1.15E-01
1.202,4.64181,1.14E-01
1.204,4.63963,1.12E-01
1.206,4.63747,1.11E-01
1.208,4.63532,1.10E-01
1.21,4.63316,1.08E-01
1.212,4.63102,1.07E-01
1.214,4.62896,1.06E-01
1.216,4.62689,1.05E-01
1.218,4.62483,1.04E-01
1.22,4.62277,1.03E-01
1.222,4.6207,1.02E-01
1.224,4.61863,1.01E-01
1.226,4.61657,1.00E-01
1.228,4.6145,9.93E-02
1.23,4.61242,9.83E-02
1.232,4.6103,9.74E-02
1.234,4.60818,9.64E-02
1.236,4.60606,9.54E-02
1.238,4.60394,9.45E-02
1.24,4.6018,9.34E-02
1.242,4.59964,9.22E-02
1.244,4.59749,9.11E-02
1.246,4.59533,8.99E-02
1.248,4.59318,8.88E-02
1.25,4.59117,8.79E-02
1.252,4.58916,8.70E-02
1.254,4.58715,8.61E-02
1.256,4.58514,8.53E-02
1.258,4.58321,8.44E-02
1.26,4.58137,8.35E-02
1.262,4.57953,8.26E-02
1.264,4.5777,8.17E-02
1.266,4.57586,8.09E-02
1.268,4.57419,8.00E-02
1.27,4.57256,7.91E-02
1.272,4.57092,7.82E-02
1.274,4.56929,7.73E-02
1.276,4.56768,7.65E-02
1.278,4.56623,7.56E-02
1.28,4.56477,7.48E-02
1.282,4.56332,7.40E-02
1.284,4.56187,7.32E-02
1.286,4.56045,7.24E-02
1.288,4.55907,7.19E-02
1.29,4.5577,7.13E-02
1.292,4.55632,7.07E-02
1.294,4.55495,7.02E-02
1.296,4.55356,6.96E-02
1.298,4.55216,6.89E-02
1.3,4.55076,6.83E-02
1.302,4.54936,6.77E-02
1.304,4.54796,6.71E-02
1.306,4.54649,6.64E-02
1.308,4.54502,6.57E-02
1.31,4.54355,6.50E-02
1.312,4.54208,6.43E-02
1.314,4.5406,6.36E-02
1.316,4.53907,6.31E-02
1.318,4.53753,6.26E-02
1.32,4.536,6.21E-02
1.322,4.53446,6.16E-02
1.324,4.53294,6.11E-02
1.326,4.53144,6.05E-02
1.328,4.52994,6.00E-02
1.33,4.52843,5.94E-02
1.332,4.52693,5.89E-02
1.334,4.52545,5.84E-02
1.336,4.52399,5.79E-02
1.338,4.52252,5.74E-02
1.34,4.52106,5.69E-02
1.342,4.5196,5.64E-02
1.344,4.51812,5.60E-02
1.346,4.51662,5.55E-02
1.348,4.51512,5.50E-02
1.35,4.51361,5.45E-02
1.352,4.51211,5.40E-02
1.354,4.51053,5.36E-02
1.356,4.50889,5.33E-02
1.358,4.50724,5.30E-02
1.36,4.5056,5.27E-02
1.362,4.50396,5.24E-02
1.364,4.50232,5.20E-02
1.366,4.50068,5.17E-02
1.368,4.49905,5.14E-02
1.37,4.49741,5.11E-02
1.372,4.49577,5.08E-02
1.374,4.49417,5.05E-02
1.376,4.49259,5.01E-02
1.378,4.49101,4.97E-02
1.38,4.48943,4.93E-02
1.382,4.48786,4.89E-02
1.384,4.48628,4.85E-02
1.386,4.4847,4.81E-02
1.388,4.48313,4.77E-02
1.39,4.48155,4.73E-02
1.392,4.47998,4.69E-02
1.394,4.4784,4.66E-02
1.396,4.47683,4.63E-02
1.398,4.47526,4.60E-02
1.4,4.47368,4.58E-02
1.402,4.47211,4.55E-02
1.404,4.47056,4.52E-02
1.406,4.46906,4.48E-02
1.408,4.46756,4.44E-02
1.41,4.46607,4.40E-02
1.412,4.46457,4.36E-02
1.414,4.46309,4.33E-02
1.416,4.4617,4.30E-02
1.418,4.46032,4.27E-02
1.42,4.45893,4.25E-02
1.422,4.45754,4.22E-02
1.424,4.45615,4.20E-02
1.426,4.45501,4.18E-02
1.428,4.45389,4.16E-02
1.43,4.45277,4.14E-02
1.432,4.45165,4.12E-02
1.434,4.45052,4.10E-02
1.436,4.44968,4.07E-02
1.438,4.44898,4.04E-02
1.44,4.44828,4.01E-02
1.442,4.44757,3.99E-02
1.444,4.44687,3.96E-02
1.446,4.44632,3.93E-02
1.448,4.44603,3.90E-02
1.45,4.44573,3.87E-02
1.452,4.44544,3.85E-02
1.454,4.44514,3.82E-02
