wl,n,k
2.122,4.27547,2.58E-03
2.124,4.27516,2.55E-03
2.126,4.27485,2.52E-03
2.128,4.27455,2.50E-03
2.13,4.27424,2.47E-03
2.132,4.27393,2.44E-03
2.134,4.27362,2.41E-03
2.136,4.27329,2.38E-03
2.138,4.27297,2.34E-03
2.14,4.27265,2.31E-03
2.142,4.27232,2.28E-03
2.144,4.272,2.24E-03
2.146,4.27168,2.21E-03
2.148,4.27135,2.18E-03
2.15,4.27101,2.14E-03
2.152,4.27066,2.11E-03
2.154,4.27032,2.07E-03
2.156,4.26997,2.04E-03
2.158,4.26962,2.01E-03
2.16,4.26928,1.97E-03
2.162,4.26893,1.94E-03
2.164,4.26858,1.90E-03
2.166,4.26824,1.87E-03
2.168,4.26789,1.84E-03
2.17,4.26755,1.81E-03
2.172,4.2672,1.78E-03
2.174,4.26686,1.75E-03
2.176,4.26652,1.72E-03
2.178,4.26617,1.69E-03
2.18,4.26583,1.66E-03
2.182,4.26552,1.64E-03
2.184,4.26521,1.62E-03
2.186,4.26489,1.60E-03
2.188,4.26458,1.58E-03
2.19,4.26427,1.57E-03
2.192,4.26396,1.55E-03
2.194,4.26365,1.53E-03
2.196,4.26334,1.51E-03
2.198,4.26309,1.49E-03
2.2,4.26284,1.47E-03
2.202,4.26259,1.45E-03
2.204,4.26234,1.43E-03
2.206,4.2621,1.41E-03
2.208,4.26185,1.39E-03
2.21,4.2616,1.37E-03
2.212,4.26135,1.36E-03
2.214,4.26118,1.33E-03
2.216,4.26102,1.31E-03
2.218,4.26085,1.28E-03
2.22,4.26069,1.26E-03
2.222,4.26052,1.23E-03
2.224,4.26036,1.21E-03
2.226,4.2602,1.18E-03
2.228,4.26003,1.16E-03
2.23,4.25993,1.13E-03
2.232,4.25984,1.11E-03
2.234,4.25975,1.08E-03
2.236,4.25967,1.06E-03
2.238,4.25958,1.03E-03
2.24,4.2595,1.00E-03
2.242,4.25941,9.79E-04
2.244,4.25933,9.53E-04
2.246,4.25927,9.38E-04
2.248,4.25923,9.33E-04
2.25,4.25919,9.27E-04
2.252,4.25915,9.22E-04
2.254,4.25911,9.16E-04
2.256,4.25907,9.11E-04
2.258,4.25903,9.05E-04
2.26,4.25899,9.00E-04
2.262,4.25895,8.95E-04
2.264,4.25891,8.92E-04
2.266,4.25887,8.89E-04
2.268,4.25883,8.86E-04
2.27,4.25878,8.83E-04
2.272,4.25874,8.80E-04
2.274,4.2587,8.76E-04
2.276,4.25866,8.73E-04
2.278,4.25862,8.70E-04
2.28,4.25854,8.68E-04
2.282,4.25846,8.66E-04
2.284,4.25837,8.64E-04
2.286,4.25829,8.62E-04
2.288,4.25821,8.60E-04
2.29,4.25813,8.58E-04
2.292,4.25804,8.56E-04
2.294,4.25796,8.54E-04
2.296,4.25785,8.56E-04
2.298,4.25772,8.61E-04
2.3,4.25759,8.66E-04
2.302,4.25745,8.72E-04
2.304,4.25732,8.77E-04
2.306,4.25719,8.82E-04
2.308,4.25705,8.87E-04
2.31,4.25692,8.93E-04
2.312,4.25679,8.98E-04
2.314,4.25662,8.97E-04
2.316,4.25646,8.96E-04
2.318,4.2563,8.95E-04
2.32,4.25614,8.94E-04
2.322,4.25598,8.93E-04
2.324,4.25581,8.92E-04
2.326,4.25565,8.91E-04
2.328,4.25549,8.90E-04
2.33,4.25533,8.89E-04
2.332,4.25516,8.87E-04
2.334,4.255,8.86E-04
2.336,4.25484,8.84E-04
2.338,4.25468,8.83E-04
2.34,4.25451,8.82E-04
2.342,4.25435,8.80E-04
2.344,4.25419,8.79E-04
2.346,4.25402,8.78E-04
2.348,4.25388,8.76E-04
2.35,4.25373,8.74E-04
2.352,4.25359,8.72E-04
2.354,4.25345,8.70E-04
2.356,4.2533,8.68E-04
2.358,4.25316,8.66E-04
2.36,4.25301,8.64E-04
2.362,4.25287,8.62E-04
2.364,4.25273,8.63E-04
2.366,4.25259,8.73E-04
2.368,4.25246,8.82E-04
2.37,4.25232,8.91E-04
2.372,4.25219,9.01E-04
2.374,4.25205,9.10E-04
2.376,4.25192,9.19E-04
2.378,4.25178,9.29E-04
2.38,4.25165,9.38E-04
2.382,4.2515,9.46E-04
2.384,4.25135,9.54E-04
2.386,4.25119,9.62E-04
2.388,4.25104,9.70E-04
2.39,4.25089,9.77E-04
2.392,4.25073,9.85E-04
2.394,4.25058,9.93E-04
2.396,4.25042,1.00E-03
2.398,4.25027,1.01E-03
2.4,4.2501,1.02E-03
2.402,4.24992,1.03E-03
2.404,4.24974,1.03E-03
2.406,4.24957,1.04E-03
2.408,4.24939,1.05E-03
2.41,4.24921,1.06E-03
2.412,4.24903,1.07E-03
2.414,4.24886,1.08E-03
2.416,4.24868,1.08E-03
2.418,4.24853,1.10E-03
2.42,4.24838,1.11E-03
2.422,4.24822,1.13E-03
2.424,4.24807,1.14E-03
2.426,4.24792,1.15E-03
2.428,4.24777,1.17E-03
2.43,4.24762,1.18E-03
2.432,4.24746,1.19E-03
2.434,4.24732,1.21E-03
2.436,4.24721,1.22E-03
2.438,4.2471,1.24E-03
2.44,4.24699,1.25E-03
2.442,4.24689,1.27E-03
2.444,4.24678,1.28E-03
2.446,4.24667,1.30E-03
2.448,4.24656,1.31E-03
2.45,4.24645,1.33E-03
2.452,4.24635,1.34E-03
2.454,4.24628,1.34E-03
2.456,4.24621,1.35E-03
2.458,4.24614,1.35E-03
2.46,4.24607,1.36E-03
2.462,4.246,1.36E-03
2.464,4.24593,1.37E-03
2.466,4.24586,1.37E-03
2.468,4.2458,1.38E-03
2.47,4.24573,1.38E-03
2.472,4.24567,1.39E-03
2.474,4.2456,1.39E-03
2.476,4.24554,1.39E-03
2.478,4.24548,1.40E-03
2.48,4.24542,1.40E-03
2.482,4.24536,1.40E-03
2.484,4.2453,1.41E-03
2.486,4.24524,1.41E-03
2.488,4.24518,1.42E-03
2.49,4.24513,1.43E-03
2.492,4.24509,1.45E-03
2.494,4.24504,1.47E-03
2.496,4.24499,1.49E-03
2.498,4.24495,1.50E-03
2.5,4.2449,1.52E-03
2.502,4.24485,1.54E-03
2.504,4.24481,1.55E-03
2.506,4.24476,1.57E-03
2.508,4.24476,1.62E-03
2.51,4.24477,1.67E-03
2.512,4.24478,1.73E-03
2.514,4.24479,1.78E-03
2.516,4.2448,1.83E-03
2.518,4.24481,1.89E-03
2.52,4.24482,1.94E-03
2.522,4.24483,1.99E-03
2.524,4.24484,2.05E-03
2.526,4.24485,2.11E-03
2.528,4.24487,2.19E-03
2.53,4.24489,2.26E-03
2.532,4.2449,2.33E-03
2.534,4.24492,2.40E-03
2.536,4.24494,2.48E-03
2.538,4.24496,2.55E-03
2.54,4.24497,2.62E-03
2.542,4.24499,2.69E-03
2.544,4.245,2.77E-03
2.546,4.245,2.85E-03
2.548,4.245,2.92E-03
2.55,4.24499,3.00E-03
2.552,4.24499,3.08E-03
2.554,4.24499,3.16E-03
2.556,4.24498,3.24E-03
2.558,4.24498,3.32E-03
2.56,4.24498,3.40E-03
2.562,4.24497,3.48E-03
2.564,4.24487,3.58E-03
2.566,4.24475,3.68E-03
2.568,4.24464,3.78E-03
2.57,4.24452,3.88E-03
2.572,4.2444,3.98E-03
2.574,4.24429,4.08E-03
2.576,4.24417,4.18E-03
2.578,4.24406,4.28E-03
2.58,4.24394,4.38E-03
2.582,4.24379,4.46E-03
2.584,4.2436,4.52E-03
2.586,4.24341,4.58E-03
2.588,4.24322,4.63E-03
2.59,4.24303,4.69E-03
2.592,4.24283,4.75E-03
2.594,4.24264,4.81E-03
2.596,4.24245,4.87E-03
2.598,4.24226,4.92E-03
2.6,4.2461,4.98E-03
2.62,4.24477,4.98E-03
2.64,4.24346,4.98E-03
2.66,4.24218,4.98E-03
2.68,4.24093,4.98E-03
2.7,4.23971,4.98E-03
2.72,4.23852,4.98E-03
2.74,4.23735,4.98E-03
2.76,4.23621,4.98E-03
2.78,4.23509,4.98E-03
2.8,4.234,4.98E-03
2.82,4.23293,4.98E-03
2.84,4.23188,4.98E-03
2.86,4.23085,4.98E-03
2.88,4.22984,4.98E-03
2.9,4.22886,4.98E-03
2.92,4.2279,4.98E-03
2.94,4.22695,4.98E-03
2.96,4.22602,4.98E-03
2.98,4.22512,4.98E-03
3,4.22423,4.98E-03
3.02,4.22336,4.98E-03
3.04,4.2225,4.98E-03
3.06,4.22167,4.98E-03
3.08,4.22084,4.98E-03
3.1,4.22004,4.98E-03
3.12,4.21925,4.98E-03
3.14,4.21847,4.98E-03
3.16,4.21771,4.98E-03
3.18,4.21697,4.98E-03
3.2,4.21623,4.98E-03
3.22,4.21552,4.98E-03
3.24,4.21481,4.98E-03
3.26,4.21412,4.98E-03
3.28,4.21344,4.98E-03
3.3,4.21277,4.98E-03
3.32,4.21212,4.98E-03
3.34,4.21147,4.98E-03
3.36,4.21084,4.98E-03
3.38,4.21022,4.98E-03
3.4,4.20961,4.98E-03
3.42,4.20901,4.98E-03
3.44,4.20842,4.98E-03
3.46,4.20784,4.98E-03
3.48,4.20727,4.98E-03
3.5,4.20671,4.98E-03
3.52,4.20616,4.98E-03
3.54,4.20562,4.98E-03
3.56,4.20509,4.98E-03
3.58,4.20457,4.98E-03
3.6,4.20406,4.98E-03
3.62,4.20355,4.98E-03
3.64,4.20306,4.98E-03
3.66,4.20257,4.98E-03
3.68,4.20209,4.98E-03
3.7,4.20161,4.98E-03
3.72,4.20115,4.98E-03
3.74,4.20069,4.98E-03
3.76,4.20024,4.98E-03
3.78,4.1998,4.98E-03
3.8,4.19936,4.98E-03
3.82,4.19893,4.98E-03
3.84,4.19851,4.98E-03
3.86,4.19809,4.98E-03
3.88,4.19768,4.98E-03
3.9,4.19728,4.98E-03
3.92,4.19688,4.98E-03
3.94,4.19649,4.98E-03
3.96,4.1961,4.98E-03
3.98,4.19572,4.98E-03
4,4.19535,4.98E-03
4.02,4.19498,4.98E-03
4.04,4.19462,4.98E-03
4.06,4.19426,4.98E-03
4.08,4.1939,4.98E-03
4.1,4.19356,4.98E-03
4.12,4.19322,4.98E-03
4.14,4.19288,4.98E-03
4.16,4.19255,4.98E-03
4.18,4.19222,4.98E-03
4.2,4.19189,4.98E-03
4.22,4.19158,4.98E-03
4.24,4.19126,4.98E-03
4.26,4.19095,4.98E-03
4.28,4.19065,4.98E-03
4.3,4.19035,4.98E-03
4.32,4.19005,4.98E-03
4.34,4.18976,4.98E-03
4.36,4.18947,4.98E-03
4.38,4.18918,4.98E-03
4.4,4.1889,4.98E-03
4.42,4.18863,4.98E-03
4.44,4.18835,4.98E-03
4.46,4.18808,4.98E-03
4.48,4.18782,4.98E-03
4.5,4.18755,4.98E-03
4.52,4.18729,4.98E-03
4.54,4.18704,4.98E-03
4.56,4.18679,4.98E-03
4.58,4.18654,4.98E-03
4.6,4.18629,4.98E-03
4.62,4.18605,4.98E-03
4.64,4.18581,4.98E-03
4.66,4.18557,4.98E-03
4.68,4.18534,4.98E-03
4.7,4.18511,4.98E-03
4.72,4.18488,4.98E-03
4.74,4.18466,4.98E-03
4.76,4.18444,4.98E-03
4.78,4.18422,4.98E-03
4.8,4.184,4.98E-03
4.82,4.18379,4.98E-03
4.84,4.18358,4.98E-03
4.86,4.18337,4.98E-03
4.88,4.18316,4.98E-03
4.9,4.18296,4.98E-03
4.92,4.18276,4.98E-03
4.94,4.18256,4.98E-03
4.96,4.18236,4.98E-03
4.98,4.18217,4.98E-03
5,4.18198,4.98E-03
5.02,4.18179,4.98E-03
5.04,4.1816,4.98E-03
5.06,4.18142,4.98E-03
5.08,4.18124,4.98E-03
5.1,4.18106,4.98E-03
5.12,4.18088,4.98E-03
5.14,4.1807,4.98E-03
5.16,4.18053,4.98E-03
5.18,4.18036,4.98E-03
5.2,4.18019,4.98E-03
5.22,4.18002,4.98E-03
5.24,4.17985,4.98E-03
5.26,4.17969,4.98E-03
5.28,4.17953,4.98E-03
5.3,4.17936,4.98E-03
5.32,4.17921,4.98E-03
5.34,4.17905,4.98E-03
5.36,4.17889,4.98E-03
5.38,4.17874,4.98E-03
5.4,4.17859,4.98E-03
5.42,4.17844,4.98E-03
5.44,4.17829,4.98E-03
5.46,4.17814,4.98E-03
5.48,4.178,4.98E-03
5.5,4.17785,4.98E-03
5.52,4.17771,4.98E-03
5.54,4.17757,4.98E-03
5.56,4.17743,4.98E-03
5.58,4.1773,4.98E-03
5.6,4.17716,4.98E-03
5.62,4.17702,4.98E-03
5.64,4.17689,4.98E-03
5.66,4.17676,4.98E-03
5.68,4.17663,4.98E-03
5.7,4.1765,4.98E-03
5.72,4.17637,4.98E-03
5.74,4.17625,4.98E-03
5.76,4.17612,4.98E-03
5.78,4.176,4.98E-03
5.8,4.17588,4.98E-03
5.82,4.17575,4.98E-03
5.84,4.17563,4.98E-03
5.86,4.17552,4.98E-03
5.88,4.1754,4.98E-03
5.9,4.17528,4.98E-03
5.92,4.17517,4.98E-03
5.94,4.17505,4.98E-03
5.96,4.17494,4.98E-03
5.98,4.17483,4.98E-03
6,4.17472,4.98E-03
6.02,4.17461,4.98E-03
6.04,4.1745,4.98E-03
6.06,4.17439,4.98E-03
6.08,4.17429,4.98E-03
6.1,4.17418,4.98E-03
6.12,4.17408,4.98E-03
6.14,4.17397,4.98E-03
6.16,4.17387,4.98E-03
6.18,4.17377,4.98E-03
6.2,4.17367,4.98E-03
6.22,4.17357,4.98E-03
6.24,4.17347,4.98E-03
6.26,4.17337,4.98E-03
6.28,4.17328,4.98E-03
6.3,4.17318,4.98E-03
6.32,4.17309,4.98E-03
6.34,4.17299,4.98E-03
6.36,4.1729,4.98E-03
6.38,4.17281,4.98E-03
6.4,4.17272,4.98E-03
6.42,4.17263,4.98E-03
6.44,4.17254,4.98E-03
6.46,4.17245,4.98E-03
6.48,4.17236,4.98E-03
6.5,4.17228,4.98E-03
6.52,4.17219,4.98E-03
6.54,4.1721,4.98E-03
6.56,4.17202,4.98E-03
6.58,4.17194,4.98E-03
6.6,4.17185,4.98E-03
6.62,4.17177,4.98E-03
6.64,4.17169,4.98E-03
6.66,4.17161,4.98E-03
6.68,4.17153,4.98E-03
6.7,4.17145,4.98E-03
6.72,4.17137,4.98E-03
6.74,4.17129,4.98E-03
6.76,4.17121,4.98E-03
6.78,4.17114,4.98E-03
6.8,4.17106,4.98E-03
6.82,4.17099,4.98E-03
6.84,4.17091,4.98E-03
6.86,4.17084,4.98E-03
6.88,4.17077,4.98E-03
6.9,4.17069,4.98E-03
6.92,4.17062,4.98E-03
6.94,4.17055,4.98E-03
6.96,4.17048,4.98E-03
6.98,4.17041,4.98E-03
7,4.17034,4.98E-03
7.02,4.17027,4.98E-03
7.04,4.1702,4.98E-03
7.06,4.17013,4.98E-03
7.08,4.17007,4.98E-03
7.1,4.17,4.98E-03
7.12,4.16993,4.98E-03
7.14,4.16987,4.98E-03
7.16,4.1698,4.98E-03
7.18,4.16974,4.98E-03
7.2,4.16967,4.98E-03
7.22,4.16961,4.98E-03
7.24,4.16955,4.98E-03
7.26,4.16949,4.98E-03
7.28,4.16942,4.98E-03
7.3,4.16936,4.98E-03
7.32,4.1693,4.98E-03
7.34,4.16924,4.98E-03
7.36,4.16918,4.98E-03
7.38,4.16912,4.98E-03
7.4,4.16906,4.98E-03
7.42,4.169,4.98E-03
7.44,4.16895,4.98E-03
7.46,4.16889,4.98E-03
7.48,4.16883,4.98E-03
7.5,4.16878,4.98E-03
7.52,4.16872,4.98E-03
7.54,4.16866,4.98E-03
7.56,4.16861,4.98E-03
7.58,4.16855,4.98E-03
7.6,4.1685,4.98E-03
7.62,4.16845,4.98E-03
7.64,4.16839,4.98E-03
7.66,4.16834,4.98E-03
7.68,4.16829,4.98E-03
7.7,4.16823,4.98E-03
7.72,4.16818,4.98E-03
7.74,4.16813,4.98E-03
7.76,4.16808,4.98E-03
7.78,4.16803,4.98E-03
7.8,4.16798,4.98E-03
7.82,4.16793,4.98E-03
7.84,4.16788,4.98E-03
7.86,4.16783,4.98E-03
7.88,4.16778,4.98E-03
7.9,4.16773,4.98E-03
7.92,4.16769,4.98E-03
7.94,4.16764,4.98E-03
7.96,4.16759,4.98E-03
7.98,4.16754,4.98E-03
8,4.1675,4.98E-03
8.02,4.16745,4.98E-03
8.04,4.1674,4.98E-03
8.06,4.16736,4.98E-03
8.08,4.16731,4.98E-03
8.1,4.16727,4.98E-03
8.12,4.16722,4.98E-03
8.14,4.16718,4.98E-03
8.16,4.16714,4.98E-03
8.18,4.16709,4.98E-03
8.2,4.16705,4.98E-03
8.22,4.16701,4.98E-03
8.24,4.16696,4.98E-03
8.26,4.16692,4.98E-03
8.28,4.16688,4.98E-03
8.3,4.16684,4.98E-03
8.32,4.1668,4.98E-03
8.34,4.16676,4.98E-03
8.36,4.16671,4.98E-03
8.38,4.16667,4.98E-03
8.4,4.16663,4.98E-03
8.42,4.16659,4.98E-03
8.44,4.16655,4.98E-03
8.46,4.16651,4.98E-03
8.48,4.16648,4.98E-03
8.5,4.16644,4.98E-03
8.52,4.1664,4.98E-03
8.54,4.16636,4.98E-03
8.56,4.16632,4.98E-03
8.58,4.16628,4.98E-03
8.6,4.16625,4.98E-03
8.62,4.16621,4.98E-03
8.64,4.16617,4.98E-03
8.66,4.16614,4.98E-03
8.68,4.1661,4.98E-03
8.7,4.16606,4.98E-03
8.72,4.16603,4.98E-03
8.74,4.16599,4.98E-03
8.76,4.16596,4.98E-03
8.78,4.16592,4.98E-03
8.8,4.16589,4.98E-03
8.82,4.16585,4.98E-03
8.84,4.16582,4.98E-03
8.86,4.16578,4.98E-03
8.88,4.16575,4.98E-03
8.9,4.16571,4.98E-03
8.92,4.16568,4.98E-03
8.94,4.16565,4.98E-03
8.96,4.16561,4.98E-03
8.98,4.16558,4.98E-03
9,4.16555,4.98E-03
9.02,4.16552,4.98E-03
9.04,4.16548,4.98E-03
9.06,4.16545,4.98E-03
9.08,4.16542,4.98E-03
9.1,4.16539,4.98E-03
9.12,4.16536,4.98E-03
9.14,4.16533,4.98E-03
9.16,4.16529,4.98E-03
9.18,4.16526,4.98E-03
9.2,4.16523,4.98E-03
9.22,4.1652,4.98E-03
9.24,4.16517,4.98E-03
9.26,4.16514,4.98E-03
9.28,4.16511,4.98E-03
9.3,4.16508,4.98E-03
9.32,4.16505,4.98E-03
9.34,4.16502,4.98E-03
9.36,4.165,4.98E-03
9.38,4.16497,4.98E-03
9.4,4.16494,4.98E-03
9.42,4.16491,4.98E-03
9.44,4.16488,4.98E-03
9.46,4.16485,4.98E-03
9.48,4.16482,4.98E-03
9.5,4.1648,4.98E-03
9.52,4.16477,4.98E-03
9.54,4.16474,4.98E-03
9.56,4.16471,4.98E-03
9.58,4.16469,4.98E-03
9.6,4.16466,4.98E-03
9.62,4.16463,4.98E-03
9.64,4.16461,4.98E-03
9.66,4.16458,4.98E-03
9.68,4.16455,4.98E-03
9.7,4.16453,4.98E-03
9.72,4.1645,4.98E-03
9.74,4.16448,4.98E-03
9.76,4.16445,4.98E-03
9.78,4.16443,4.98E-03
9.8,4.1644,4.98E-03
9.82,4.16437,4.98E-03
9.84,4.16435,4.98E-03
9.86,4.16432,4.98E-03
9.88,4.1643,4.98E-03
9.9,4.16428,4.98E-03
9.92,4.16425,4.98E-03
9.94,4.16423,4.98E-03
9.96,4.1642,4.98E-03
9.98,4.16418,4.98E-03
10,4.16415,4.98E-03
10.02,4.16413,4.98E-03
10.04,4.16411,4.98E-03
10.06,4.16408,4.98E-03
10.08,4.16406,4.98E-03
10.1,4.16404,4.98E-03
10.12,4.16401,4.98E-03
10.14,4.16399,4.98E-03
10.16,4.16397,4.98E-03
10.18,4.16395,4.98E-03
10.2,4.16392,4.98E-03
10.22,4.1639,4.98E-03
10.24,4.16388,4.98E-03
10.26,4.16386,4.98E-03
10.28,4.16384,4.98E-03
10.3,4.16381,4.98E-03
10.32,4.16379,4.98E-03
10.34,4.16377,4.98E-03
10.36,4.16375,4.98E-03
10.38,4.16373,4.98E-03
10.4,4.16371,4.98E-03
10.42,4.16369,4.98E-03
10.44,4.16366,4.98E-03
10.46,4.16364,4.98E-03
10.48,4.16362,4.98E-03
10.5,4.1636,4.98E-03
10.52,4.16358,4.98E-03
10.54,4.16356,4.98E-03
10.56,4.16354,4.98E-03
10.58,4.16352,4.98E-03
10.6,4.1635,4.98E-03
10.62,4.16348,4.98E-03
10.64,4.16346,4.98E-03
10.66,4.16344,4.98E-03
10.68,4.16342,4.98E-03
10.7,4.1634,4.98E-03
10.72,4.16338,4.98E-03
10.74,4.16336,4.98E-03
10.76,4.16335,4.98E-03
10.78,4.16333,4.98E-03
10.8,4.16331,4.98E-03
10.82,4.16329,4.98E-03
10.84,4.16327,4.98E-03
10.86,4.16325,4.98E-03
10.88,4.16323,4.98E-03
10.9,4.16321,4.98E-03
10.92,4.1632,4.98E-03
10.94,4.16318,4.98E-03
10.96,4.16316,4.98E-03
10.98,4.16314,4.98E-03
11,4.16312,4.98E-03
11.02,4.16311,4.98E-03
11.04,4.16309,4.98E-03
11.06,4.16307,4.98E-03
11.08,4.16305,4.98E-03
11.1,4.16304,4.98E-03
11.12,4.16302,4.98E-03
11.14,4.163,4.98E-03
11.16,4.16298,4.98E-03
11.18,4.16297,4.98E-03
11.2,4.16295,4.98E-03
11.22,4.16293,4.98E-03
11.24,4.16292,4.98E-03
11.26,4.1629,4.98E-03
11.28,4.16288,4.98E-03
11.3,4.16287,4.98E-03
11.32,4.16285,4.98E-03
11.34,4.16283,4.98E-03
11.36,4.16282,4.98E-03
11.38,4.1628,4.98E-03
11.4,4.16279,4.98E-03
11.42,4.16277,4.98E-03
11.44,4.16275,4.98E-03
11.46,4.16274,4.98E-03
11.48,4.16272,4.98E-03
11.5,4.16271,4.98E-03
11.52,4.16269,4.98E-03
11.54,4.16267,4.98E-03
11.56,4.16266,4.98E-03
11.58,4.16264,4.98E-03
11.6,4.16263,4.98E-03
11.62,4.16261,4.98E-03
11.64,4.1626,4.98E-03
11.66,4.16258,4.98E-03
11.68,4.16257,4.98E-03
11.7,4.16255,4.98E-03
11.72,4.16254,4.98E-03
11.74,4.16252,4.98E-03
11.76,4.16251,4.98E-03
11.78,4.16249,4.98E-03
11.8,4.16248,4.98E-03
11.82,4.16247,4.98E-03
11.84,4.16245,4.98E-03
11.86,4.16244,4.98E-03
11.88,4.16242,4.98E-03
11.9,4.16241,4.98E-03
11.92,4.16239,4.98E-03
11.94,4.16238,4.98E-03
11.96,4.16237,4.98E-03
11.98,4.16235,4.98E-03
12,4.16234,4.98E-03
12.02,4.16233,4.98E-03
12.04,4.16231,4.98E-03
12.06,4.1623,4.98E-03
12.08,4.16228,4.98E-03
12.1,4.16227,4.98E-03
12.12,4.16226,4.98E-03
12.14,4.16224,4.98E-03
12.16,4.16223,4.98E-03
12.18,4.16222,4.98E-03
12.2,4.16221,4.98E-03
12.22,4.16219,4.98E-03
12.24,4.16218,4.98E-03
12.26,4.16217,4.98E-03
12.28,4.16215,4.98E-03
12.3,4.16214,4.98E-03
12.32,4.16213,4.98E-03
12.34,4.16212,4.98E-03
12.36,4.1621,4.98E-03
12.38,4.16209,4.98E-03
12.4,4.16208,4.98E-03
12.42,4.16207,4.98E-03
12.44,4.16205,4.98E-03
12.46,4.16204,4.98E-03
12.48,4.16203,4.98E-03
12.5,4.16202,4.98E-03
12.52,4.162,4.98E-03
12.54,4.16199,4.98E-03
12.56,4.16198,4.98E-03
12.58,4.16197,4.98E-03
12.6,4.16196,4.98E-03
12.62,4.16194,4.98E-03
12.64,4.16193,4.98E-03
12.66,4.16192,4.98E-03
12.68,4.16191,4.98E-03
12.7,4.1619,4.98E-03
12.72,4.16189,4.98E-03
12.74,4.16187,4.98E-03
12.76,4.16186,4.98E-03
12.78,4.16185,4.98E-03
12.8,4.16184,4.98E-03
12.82,4.16183,4.98E-03
12.84,4.16182,4.98E-03
12.86,4.16181,4.98E-03
12.88,4.16179,4.98E-03
12.9,4.16178,4.98E-03
12.92,4.16177,4.98E-03
12.94,4.16176,4.98E-03
12.96,4.16175,4.98E-03
12.98,4.16174,4.98E-03
13,4.16173,4.98E-03
13.02,4.16172,4.98E-03
13.04,4.16171,4.98E-03
13.06,4.1617,4.98E-03
13.08,4.16169,4.98E-03
13.1,4.16168,4.98E-03
13.12,4.16166,4.98E-03
13.14,4.16165,4.98E-03
13.16,4.16164,4.98E-03
13.18,4.16163,4.98E-03
13.2,4.16162,4.98E-03
13.22,4.16161,4.98E-03
13.24,4.1616,4.98E-03
13.26,4.16159,4.98E-03
13.28,4.16158,4.98E-03
13.3,4.16157,4.98E-03
13.32,4.16156,4.98E-03
13.34,4.16155,4.98E-03
13.36,4.16154,4.98E-03
13.38,4.16153,4.98E-03
13.4,4.16152,4.98E-03
13.42,4.16151,4.98E-03
13.44,4.1615,4.98E-03
13.46,4.16149,4.98E-03
13.48,4.16148,4.98E-03
13.5,4.16147,4.98E-03
13.52,4.16146,4.98E-03
13.54,4.16145,4.98E-03
13.56,4.16144,4.98E-03
13.58,4.16144,4.98E-03
13.6,4.16143,4.98E-03
13.62,4.16142,4.98E-03
13.64,4.16141,4.98E-03
13.66,4.1614,4.98E-03
13.68,4.16139,4.98E-03
13.7,4.16138,4.98E-03
13.72,4.16137,4.98E-03
13.74,4.16136,4.98E-03
13.76,4.16135,4.98E-03
13.78,4.16134,4.98E-03
13.8,4.16133,4.98E-03
13.82,4.16132,4.98E-03
13.84,4.16132,4.98E-03
13.86,4.16131,4.98E-03
13.88,4.1613,4.98E-03
13.9,4.16129,4.98E-03
13.92,4.16128,4.98E-03
13.94,4.16127,4.98E-03
13.96,4.16126,4.98E-03
13.98,4.16125,4.98E-03
14,4.16124,4.98E-03
14.02,4.16124,4.98E-03
14.04,4.16123,4.98E-03
14.06,4.16122,4.98E-03
14.08,4.16121,4.98E-03
14.1,4.1612,4.98E-03
14.12,4.16119,4.98E-03
14.14,4.16118,4.98E-03
14.16,4.16118,4.98E-03
14.18,4.16117,4.98E-03
14.2,4.16116,4.98E-03
14.22,4.16115,4.98E-03
14.24,4.16114,4.98E-03
14.26,4.16114,4.98E-03
14.28,4.16113,4.98E-03
14.3,4.16112,4.98E-03
14.32,4.16111,4.98E-03
14.34,4.1611,4.98E-03
14.36,4.16109,4.98E-03
14.38,4.16109,4.98E-03
14.4,4.16108,4.98E-03
14.42,4.16107,4.98E-03
14.44,4.16106,4.98E-03
14.46,4.16105,4.98E-03
14.48,4.16105,4.98E-03
14.5,4.16104,4.98E-03
14.52,4.16103,4.98E-03
14.54,4.16102,4.98E-03
14.56,4.16102,4.98E-03
14.58,4.16101,4.98E-03
14.6,4.161,4.98E-03
14.62,4.16099,4.98E-03
14.64,4.16099,4.98E-03
14.66,4.16098,4.98E-03
14.68,4.16097,4.98E-03
14.7,4.16096,4.98E-03
14.72,4.16096,4.98E-03
14.74,4.16095,4.98E-03
14.76,4.16094,4.98E-03
14.78,4.16093,4.98E-03
14.8,4.16093,4.98E-03
14.82,4.16092,4.98E-03
14.84,4.16091,4.98E-03
14.86,4.1609,4.98E-03
14.88,4.1609,4.98E-03
14.9,4.16089,4.98E-03
14.92,4.16088,4.98E-03
14.94,4.16088,4.98E-03
14.96,4.16087,4.98E-03
14.98,4.16086,4.98E-03
15,4.16085,4.98E-03
