wl,n,k
0.3,1.52,0.99
0.4,1.87,1.18
0.5,2.2,0.92
0.6,1.98,0.65
0.7,1.72,0.86
0.8,1.79,0.91
0.9,1.57,0.99
1,1.41,1.23
1.1,1.35,1.52
1.2,1.35,1.8
1.3,1.39,2.06
1.5,1.53,2.52
1.6,1.63,2.73
1.7,1.72,2.93
1.8,1.83,3.11
1.9,1.94,3.28
2,2.05,3.44
2.5,2.63,4.08
3,3.17,4.62
3.5,3.71,5.08
4,4.27,5.46
4.5,4.84,5.75
5,5.38,5.96
5.5,5.89,6.09
6,6.35,6.17
6.5,6.76,6.21
7,7.14,6.23
