wl,n,k
0.3,1.52,1.12
0.4,2.09,1.31
0.5,2.49,0.99
0.6,2.49,0.74
0.7,2.45,0.69
0.8,2.49,0.72
0.9,2.58,0.72
1,2.66,0.69
1.1,2.74,0.65
1.2,2.8,0.59
1.3,2.85,0.52
1.5,2.88,0.39
1.6,2.88,0.34
1.7,2.87,0.3
1.8,2.86,0.27
1.9,2.85,0.25
2,2.85,0.23
2.5,2.78,0.14
3,2.75,0.11
3.5,2.72,0.09
4,2.7,0.08
4.5,2.67,0.07
5,2.65,0.07
5.5,2.61,0.07
6,2.58,0.07
6.5,2.54,0.07
7,2.49,0.07
