Wavelength(nm)	n	k
450 2.8087 0
500 2.7058 0
600 2.6034 0
700 2.5514 0
800 2.5213 0
900 2.4995 0
1000 2.488 0
1200 2.4647 0
1400 2.4514 0
1600 2.4413 0
1800 2.432 0
2000 2.4238 0
2200 2.4157 0
2400 2.4088 0
